time,map,reduce,total,replication,blocksize,dimension,reduce_started,reducers,reduce_buffer_io,workload,reduce_started,shuffle,maps
1459361774,0,0,0,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361790,1,0,1,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361792,3,0,3,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361795,4,0,4,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361797,5,0,5,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361804,6,0,6,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361812,7,0,7,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361813,8,0,8,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361817,9,0,9,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361819,10,0,10,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361823,11,0,11,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361826,12,0,12,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361833,14,0,14,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361837,15,0,15,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361840,16,0,16,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361842,17,0,17,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361845,18,0,18,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361847,19,0,19,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361851,20,0,20,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361856,22,0,22,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361859,23,0,23,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361863,24,0,24,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361867,25,0,25,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361870,26,0,26,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361873,27,0,27,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361876,28,0,28,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361879,29,0,29,4,134217728,500000000,35,24,200,74657261736,0,0,3
1459361886,30,0,30,4,134217728,500000000,35,24,200,74657261736,0,0,3
