replication,blocksize,dimension,start_reduce_percentage,reducers,taskio,start_time,start_reduce,end_time,total_time
2,104960000,4600000000,0.75,12,100,1457731916,1457732019,1457732145,229
2,16640000,200000000,0.05,12,100,1456968831,1456968853,1456968861,30
3,33280000,300000000,0.05,12,100,1456983155,1456983183,1456983211,56
4,104960000,6200000000,0.5,12,100,1457783767,1457783869,1457784003,236
4,128000000,3800000000,0.75,12,100,1457788946,1457789017,1457789175,229
2,99840000,210000000,0.05,12,100,1456955245,1456955269,1456955289,44
4,104960000,5700000000,0.5,12,100,1457780035,1457780157,1457780272,237
1,99840000,570000000000,0.35,12,100,1457991031,1457995070,1458007094,16063
1,20480000,4600000000,0.75,12,100,1457349385,1457349531,1457349649,264
4,128000000,5700000000,0.35,12,100,1457786308,1457786395,1457786545,237
4,20480000,5700000000,0.35,12,100,1457384580,1457384680,1457384869,289
2,104960000,5700000000,0.5,12,100,1457734390,1457734495,1457734624,234
4,168960000,4600000000,0.35,12,100,1457394203,1457394287,1457394429,226
1,16640000,400000000,0.05,12,100,1456960090,1456960117,1456960215,125
1,168960000,1800000000,0.35,12,100,1457222402,1457222781,1457222893,491
1,33280000,500000000,0.5,12,100,1456964065,1456964104,1456964213,148
2,99840000,3800000000,0.5,12,100,1457728764,1457728826,1457728966,202
4,128000000,6200000000,0.75,12,100,1457790880,1457791012,1457791088,208
1,20480000,6200000000,0.75,12,100,1457353508,1457353716,1457353869,361
1,20480000,6200000000,0.35,12,100,1457352710,1457352812,1457353086,376
1,104960000,620000000000,0.35,12,100,1458258087,1458262606,1458274887,16800
1,128000000,6200000000,0.75,12,100,1457722721,1457722848,1457722943,222
3,168960000,3600000000,0.35,12,100,1457233882,1457233966,1457234090,208
4,19968000,1500000000,0.75,12,100,1457192261,1457192314,1457192387,126
1,256000000,1500000000,0.75,12,100,1457218775,1457219084,1457219286,511
3,16640000,800000000,0.9,12,100,1457104262,1457104359,1457104380,118
4,104960000,6200000000,0.75,12,100,1457783109,1457783220,1457783344,235
1,33280000,400000000,0.5,12,100,1456963110,1456963175,1456963257,147
3,20480000,1800000000,0.35,12,100,1457227465,1457227502,1457227590,125
4,76800000,600000000,0.35,12,100,1457192725,1457192775,1457192789,64
3,104960000,5700000000,0.75,12,100,1457756446,1457756557,1457756679,233
3,16640000,700000000,0.9,12,100,1457103819,1457103924,1457103928,109
2,128000000,3800000000,0.75,12,100,1457743064,1457743192,1457743276,212
4,20480000,2700000000,0.35,12,100,1457239401,1457239456,1457239537,136
1,99840000,6200000000,0.5,12,100,1457709089,1457709190,1457709320,231
1,148480000,1500000000,0.35,12,100,1457176893,1457176961,1457176983,90
4,99840000,6200000000,0.75,12,100,1457775430,1457775540,1457775666,236
2,99840000,200000000,0.05,12,100,1456975516,1456975559,1456975571,55
1,99840000,400000000,0.05,12,100,1456967025,1456967050,1456967075,50
1,256000000,3600000000,0.75,12,100,1457215335,1457215516,1457216060,725
2,99840000,6200000000,0.75,12,100,1457730069,1457730196,1457730288,219
1,20480000,2700000000,0.35,12,100,1457211822,1457211888,1457212061,239
3,128000000,6200000000,0.35,12,100,1457767069,1457767140,1457767305,236
1,76800000,700000000,0.35,12,100,1457170744,1457170820,1457170906,162
3,33280000,400000000,0.05,12,100,1456984033,1456984070,1456984145,112
1,168960000,4600000000,0.75,12,100,1457362347,1457362427,1457362872,525
4,128000000,4600000000,0.35,12,100,1457784414,1457784484,1457784637,223
4,20480000,3600000000,0.75,12,100,1457238916,1457239040,1457239058,142
1,168960000,2700000000,0.75,12,100,1457221841,1457222014,1457222036,195
2,104960000,6200000000,0.35,12,100,1457736734,1457736800,1457736978,244
1,128000000,5700000000,0.35,12,100,1457718578,1457718648,1457718840,262
4,128000000,3800000000,0.35,12,100,1457788352,1457788428,1457788545,193
1,256000000,3800000000,0.35,12,100,1457357969,1457358063,1457358601,632
4,256000000,3600000000,0.35,12,100,1457242374,1457242475,1457242629,255
2,99840000,5700000000,0.35,12,100,1457725747,1457725814,1457725991,244
1,148480000,700000000,0.75,12,100,1457175344,1457175685,1457175738,394
3,99840000,3800000000,0.35,12,100,1457750117,1457750178,1457750319,202
2,128000000,4600000000,0.75,12,100,1457739291,1457739398,1457739530,239
3,168960000,2700000000,0.35,12,100,1457234965,1457235049,1457235190,225
2,99840000,6200000000,0.35,12,100,1457729423,1457729489,1457729680,257
1,33280000,200000000,0.05,12,100,1456961908,1456961934,1456961944,36
1,99840000,5700000000,0.35,12,100,1457704118,1457704182,1457704389,271
4,33280000,300000000,0.5,12,100,1456992716,1456992748,1456992761,45
4,16640000,400000000,0.5,12,100,1456990310,1456990337,1456990348,38
1,104960000,460000000000,0.35,12,100,1458131900,1458135265,1458144109,12209
2,20480000,4600000000,0.35,12,100,1457366958,1457367044,1457367206,248
3,99840000,6200000000,0.75,12,100,1457752555,1457752663,1457752788,233
1,99840000,570000000000,0.75,12,100,1458009635,1458018182,1458022554,12919
3,168960000,1500000000,0.35,12,100,1457236894,1457236955,1457236979,85
3,16640000,500000000,0.5,12,100,1456981079,1456981119,1456981184,105
1,20480000,3800000000,0.35,12,100,1457351426,1457351508,1457351694,268
1,99840000,5700000000,0.5,12,100,1457705490,1457705615,1457705711,221
4,66560000,700000000,0.9,12,100,1457111508,1457111595,1457111623,115
1,76800000,800000000,0.75,12,100,1457172165,1457172216,1457172239,74
1,256000000,1800000000,0.35,12,100,1457217295,1457217389,1457217396,101
3,128000000,5700000000,0.5,12,100,1457764656,1457764742,1457764879,223
1,99840000,620000000000,0.75,12,100,1458096222,1458105513,1458111072,14850
1,20480000,1500000000,0.75,12,100,1457214276,1457214350,1457214419,143
1,104960000,3800000000,0.35,12,100,1457713250,1457713320,1457713451,201
4,16640000,500000000,0.9,12,100,1457110569,1457110671,1457110685,116
4,128000000,6200000000,0.35,12,100,1457790219,1457790290,1457790457,238
1,104960000,460000000000,0.5,12,100,1458158867,1458163650,1458170105,11238
3,16640000,400000000,0.5,12,100,1456980264,1456980296,1456980376,112
1,148480000,700000000,0.35,12,100,1457174926,1457174988,1457175001,75
1,99840000,570000000000,0.5,12,100,1458025135,1458030872,1458040280,15145
4,76800000,800000000,0.75,12,100,1457194999,1457195082,1457195120,121
3,66560000,700000000,0.9,12,100,1457105696,1457105777,1457105790,94
1,33280000,400000000,0.05,12,100,1456963584,1456963610,1456963732,148
3,20480000,1500000000,0.75,12,100,1457228892,1457228946,1457229019,127
4,99840000,3800000000,0.35,12,100,1457772912,1457772973,1457773112,200
4,16640000,500000000,0.5,12,100,1456991103,1456991135,1456991223,120
4,148480000,1500000000,0.35,12,100,1457199235,1457199307,1457199330,95
3,128000000,4600000000,0.75,12,100,1457762080,1457762180,1457762319,239
1,128000000,570000000000,0.5,12,100,1458385158,1458390755,1458399786,14628
3,20480000,2700000000,0.35,12,100,1457226496,1457226550,1457226624,128
3,128000000,6200000000,0.5,12,100,1457768334,1457768407,1457768570,236
1,256000000,5700000000,0.35,12,100,1457356019,1457356117,1457356553,534
2,256000000,6200000000,0.75,12,100,1457377387,1457377497,1457377824,437
2,20480000,5700000000,0.75,12,100,1457368888,1457369067,1457369135,247
2,99840000,500000000,0.05,12,100,1456978232,1456978259,1456978282,50
1,20480000,1800000000,0.75,12,100,1457213360,1457213426,1457213481,121
3,128000000,6200000000,0.75,12,100,1457767706,1457767825,1457767929,223
3,99840000,3800000000,0.75,12,100,1457750707,1457750809,1457750898,191
3,16640000,500000000,0.9,12,100,1457104705,1457104816,1457104819,114
1,148480000,600000000,0.75,12,100,1457174229,1457174565,1457174597,368
4,76800000,600000000,0.75,12,100,1457193131,1457193290,1457193320,189
1,104960000,380000000000,0.75,12,100,1458235673,1458241564,1458244559,8886
4,99840000,600000000,0.9,12,100,1457113086,1457113139,1457113153,67
2,33280000,200000000,0.5,12,100,1456971809,1456971840,1456971877,68
2,128000000,4600000000,0.35,12,100,1457738677,1457738747,1457738905,228
3,20480000,1800000000,0.75,12,100,1457227933,1457227986,1457228062,129
4,33280000,300000000,0.05,12,100,1456993091,1456993112,1456993130,39
2,20480000,6200000000,0.75,12,100,1457371487,1457371679,1457371750,263
1,168960000,1500000000,0.75,12,100,1457224511,1457224928,1457224971,460
4,16640000,300000000,0.5,12,100,1456989524,1456989561,1456989629,105
4,256000000,3800000000,0.75,12,100,1457391724,1457391942,1457392390,666
4,99840000,400000000,0.05,12,100,1456997349,1456997374,1456997395,46
3,104960000,3800000000,0.5,12,100,1457758823,1457758886,1457759012,189
3,128000000,4600000000,0.5,12,100,1457762713,1457762784,1457762936,223
4,256000000,3600000000,0.75,12,100,1457242979,1457243199,1457243233,254
1,99840000,6200000000,0.35,12,100,1457707835,1457707902,1457708091,256
3,66560000,800000000,0.9,12,100,1457106128,1457106279,1457106367,239
2,33280000,500000000,0.5,12,100,1456974305,1456974333,1456974356,51
4,76800000,700000000,0.75,12,100,1457194061,1457194207,1457194231,170
4,20480000,6200000000,0.75,12,100,1457388009,1457388190,1457388273,264
4,128000000,5700000000,0.75,12,100,1457787030,1457787151,1457787257,227
1,168960000,5700000000,0.35,12,100,1457363257,1457363341,1457363486,229
4,104960000,4600000000,0.5,12,100,1457777982,1457778046,1457778191,209
4,168960000,6200000000,0.35,12,100,1457398205,1457398305,1457398432,227
2,104960000,6200000000,0.5,12,100,1457738041,1457738143,1457738278,237
4,148480000,600000000,0.35,12,100,1457196276,1457196336,1457196350,74
3,168960000,3600000000,0.75,12,100,1457234437,1457234520,1457234574,137
4,99840000,300000000,0.05,12,100,1456996409,1456996530,1456996540,131
4,19968000,600000000,0.75,12,100,1457189469,1457189521,1457189596,127
3,19968000,800000000,0.35,12,100,1457179726,1457179759,1457179863,137
3,19968000,600000000,0.35,12,100,1457177866,1457177901,1457177994,128
4,104960000,3800000000,0.5,12,100,1457781809,1457781872,1457782012,203
3,256000000,2700000000,0.35,12,100,1457230494,1457230585,1457230605,111
2,99840000,460000000000,0.35,12,100,1458561688,1458562328,1458564108,2420
4,148480000,700000000,0.35,12,100,1457197083,1457197142,1457197156,73
4,33280000,500000000,0.5,12,100,1456994389,1456994421,1456994442,53
1,99840000,460000000000,0.5,12,100,1457976246,1457980881,1457988578,12332
1,104960000,620000000000,0.5,12,100,1458294715,1458301156,1458310583,15868
4,99840000,5700000000,0.75,12,100,1457771563,1457771673,1457771797,234
3,148480000,700000000,0.75,12,100,1457186866,1457186923,1457186937,71
1,256000000,1800000000,0.75,12,100,1457217746,1457217896,1457217971,225
1,168960000,5700000000,0.75,12,100,1457363842,1457363964,1457364061,219
2,16640000,300000000,0.5,12,100,1456969181,1456969218,1456969271,90
2,128000000,6200000000,0.75,12,100,1457745031,1457745151,1457745254,223
1,128000000,5700000000,0.5,12,100,1457719791,1457719863,1457720048,257
1,20480000,3600000000,0.35,12,100,1457210696,1457210770,1457210953,257
4,16640000,300000000,0.05,12,100,1456989948,1456989972,1456989989,41
3,104960000,4600000000,0.35,12,100,1457753809,1457753873,1457754026,217
4,256000000,1800000000,0.35,12,100,1457244706,1457244795,1457244809,103
1,16640000,400000000,0.5,12,100,1456959709,1456959745,1456959761,52
2,104960000,5700000000,0.75,12,100,1457733773,1457733884,1457734007,234
3,99840000,5700000000,0.35,12,100,1457748151,1457748267,1457748391,240
1,128000000,3800000000,0.75,12,100,1457720971,1457721043,1457721140,169
4,99840000,500000000,0.9,12,100,1457114296,1457114345,1457114359,63
2,16640000,500000000,0.5,12,100,1456970932,1456970963,1456971049,117
1,20480000,3600000000,0.75,12,100,1457211293,1457211406,1457211471,178
1,99840000,500000000,0.05,12,100,1456967794,1456967877,1456968081,287
1,168960000,6200000000,0.35,12,100,1457365741,1457365839,1457365976,235
2,128000000,6200000000,0.5,12,100,1457745665,1457745738,1457745899,234
1,99840000,3800000000,0.75,12,100,1457706671,1457706771,1457706872,201
