timestamp,map,reduce
1457359894,0,0
1457359908,6,0
1457359909,7,0
1457359911,10,0
1457359914,11,0
1457359917,14,0
1457359918,15,0
1457359920,16,0
1457359923,19,0
1457359924,20,0
1457359926,22,0
1457359927,23,0
1457359928,24,0
1457359929,26,0
1457359932,29,0
1457359935,31,0
1457359938,32,0
1457359940,33,0
1457359941,35,0
1457359942,36,0
1457359943,37,0
1457359946,38,0
1457359947,39,0
1457359949,40,0
1457359950,41,0
1457359951,43,0
1457359953,44,0
1457359957,46,0
1457359960,47,0
1457359961,49,0
1457359963,50,0
1457359966,52,0
1457359970,54,0
1457359972,55,0
1457359975,57,0
1457359976,59,0
1457359977,60,0
1457359978,66,0
1457359979,68,0
1457359982,69,0
1457359984,70,0
1457359989,71,0
1457359990,71,1
1457359991,71,2
1457359992,71,4
1457359993,77,7
1457359994,81,10
1457359995,82,15
1457359996,82,20
1457359997,82,22
1457359998,82,23
1457359999,83,23
1457360008,84,23
1457360013,85,23
1457360020,86,23
1457360021,87,23
1457360026,88,23
1457360027,89,23
1457360028,89,24
1457360030,90,24
1457360033,91,25
1457360035,92,25
1457360036,93,26
1457360040,94,26
1457360042,95,26
1457360043,95,27
1457360047,97,27
1457360049,97,28
1457360052,98,28
1457360053,98,29
1457360059,99,29
1457360066,99,32
1457360068,100,32
1457360070,100,36
1457360071,100,46
1457360072,100,55
1457360073,100,66
1457360074,100,74
1457360075,100,80
1457360077,100,85
1457360078,100,87
1457360079,100,89
1457360080,100,90
1457360081,100,91
1457360083,100,92
1457360084,100,94
1457360086,100,95
1457360088,100,100
