timestamp,map,reduce
1458327012,0,0
1458327072,1,0
1458327164,2,0
1458327247,3,0
1458327343,4,0
1458327430,5,0
1458327518,6,0
1458327607,7,0
1458327696,8,0
1458327788,9,0
1458327877,10,0
1458327968,11,0
1458328055,12,0
1458328144,13,0
1458328235,14,0
1458328325,15,0
1458328417,16,0
1458328502,17,0
1458328592,18,0
1458328681,19,0
1458328771,20,0
1458328863,21,0
1458328949,22,0
1458329039,23,0
1458329130,24,0
1458329221,25,0
1458329311,26,0
1458329399,27,0
1458329486,28,0
1458329577,29,0
1458329668,30,0
1458329757,31,0
1458329847,32,0
1458329935,33,0
1458330024,34,0
1458330115,35,0
1458330205,36,0
1458330295,37,0
1458330382,38,0
1458330472,39,0
1458330564,40,0
1458330654,41,0
1458330745,42,0
1458330833,43,0
1458330921,44,0
1458331011,45,0
1458331101,46,0
1458331192,47,0
1458331282,48,0
1458331369,49,0
1458331461,50,0
1458331551,51,0
1458331642,52,0
1458331730,53,0
1458331822,54,0
1458331909,55,0
1458331998,56,0
1458332089,57,0
1458332177,58,0
1458332269,59,0
1458332356,60,0
1458332446,61,0
1458332536,62,0
1458332628,63,0
1458332717,64,0
1458332805,65,0
1458332894,66,0
1458332985,67,0
1458333076,68,0
1458333166,69,0
1458333255,70,0
1458333344,71,0
1458333435,72,0
1458333524,73,0
1458333617,74,0
1458333704,75,0
1458333788,75,1
1458333794,75,2
1458333796,76,2
1458333799,76,3
1458333809,76,4
1458333817,76,5
1458333825,76,6
1458333836,76,7
1458333843,76,8
1458333853,76,9
1458333861,76,10
1458333871,76,11
1458333881,76,12
1458333888,76,13
1458333896,76,14
1458333907,76,15
1458333918,76,16
1458333925,76,17
1458333934,76,18
1458333943,76,19
1458333951,76,20
1458333958,76,21
1458333972,76,22
1458333982,77,22
1458333993,77,23
1458334046,77,24
1458334064,77,25
1458334099,77,26
1458334133,78,26
1458334274,79,26
1458334409,80,26
1458334429,80,27
1458334538,81,27
1458334665,82,27
1458334790,83,27
1458334810,83,28
1458334917,84,28
1458335045,85,28
1458335166,86,28
1458335192,86,29
1458335294,87,29
1458335424,88,29
1458335558,89,29
1458335585,89,30
1458335689,90,30
1458335813,91,30
1458335939,92,30
1458335958,92,31
1458336059,93,31
1458336182,94,31
1458336305,95,31
1458336325,95,32
1458336414,96,32
1458336516,97,32
1458336621,98,32
1458336639,98,33
1458336730,99,33
1458336837,100,33
1458337044,100,35
1458337045,100,38
1458337046,100,44
1458337047,100,53
1458337048,100,60
1458337049,100,66
1458337050,100,67
1458337054,100,68
1458337058,100,69
1458337064,100,70
1458337068,100,71
1458337072,100,72
1458337077,100,73
1458337082,100,74
1458337086,100,75
1458337090,100,76
1458337096,100,77
1458337101,100,78
1458337104,100,79
1458337110,100,80
1458337115,100,81
1458337120,100,82
1458337126,100,83
1458337131,100,84
1458337135,100,85
1458337141,100,86
1458337145,100,87
1458337150,100,88
1458337155,100,89
1458337160,100,90
1458337164,100,91
1458337169,100,92
1458337174,100,93
1458337179,100,94
1458337184,100,95
1458337189,100,96
1458337194,100,97
1458337200,100,98
1458337205,100,99
1458337211,100,100
