applicationID,time,reducer,percentage
application_1462718033130_0092,1463239449.0,0,2.0
application_1462718033130_0092,1463239450.0,2,1.9166667
application_1462718033130_0092,1463239452.0,1,0.75000003
application_1462718033130_0092,1463239452.0,0,2.0
application_1462718033130_0092,1463239453.0,2,1.9166667
application_1462718033130_0092,1463239454.0,4,2.0
application_1462718033130_0092,1463239455.0,0,2.0
application_1462718033130_0092,1463239455.0,1,1.9166667
application_1462718033130_0092,1463239456.0,2,1.9166667
application_1462718033130_0092,1463239458.0,4,2.0
application_1462718033130_0092,1463239458.0,1,1.9166667
application_1462718033130_0092,1463239458.0,0,2.5000002
application_1462718033130_0092,1463239459.0,2,2.5833335
application_1462718033130_0092,1463239461.0,4,2.0833334
application_1462718033130_0092,1463239461.0,1,1.9166667
application_1462718033130_0092,1463239461.0,0,3.3333335
application_1462718033130_0092,1463239462.0,2,3.25
application_1462718033130_0092,1463239464.0,4,3.1666666
application_1462718033130_0092,1463239464.0,1,3.25
application_1462718033130_0092,1463239464.0,0,3.3333335
application_1462718033130_0092,1463239465.0,2,3.25
application_1462718033130_0092,1463239467.0,4,3.3333335
application_1462718033130_0092,1463239467.0,1,3.25
application_1462718033130_0092,1463239467.0,0,3.3333335
application_1462718033130_0092,1463239468.0,2,3.25
application_1462718033130_0092,1463239470.0,1,3.25
application_1462718033130_0092,1463239471.0,4,3.3333335
application_1462718033130_0092,1463239471.0,0,4.4166666
application_1462718033130_0092,1463239471.0,3,0.0
application_1462718033130_0092,1463239471.0,2,4.5
application_1462718033130_0092,1463239473.0,1,4.5833334
application_1462718033130_0092,1463239474.0,4,4.1666668
application_1462718033130_0092,1463239474.0,0,4.6666667
application_1462718033130_0092,1463239474.0,2,4.5833334
application_1462718033130_0092,1463239476.0,1,4.5833334
application_1462718033130_0092,1463239477.0,0,4.6666667
application_1462718033130_0092,1463239477.0,4,4.6666667
application_1462718033130_0092,1463239478.0,2,4.5833334
application_1462718033130_0092,1463239479.0,1,4.5833334
application_1462718033130_0092,1463239480.0,4,4.6666667
application_1462718033130_0092,1463239480.0,0,5.0833337
application_1462718033130_0092,1463239481.0,2,5.2500002
application_1462718033130_0092,1463239482.0,3,0.4166667
application_1462718033130_0092,1463239483.0,1,4.5833334
application_1462718033130_0092,1463239483.0,0,6.0000002
application_1462718033130_0092,1463239483.0,4,5.0833337
application_1462718033130_0092,1463239484.0,2,5.9166666
application_1462718033130_0092,1463239486.0,1,5.9166666
application_1462718033130_0092,1463239487.0,3,0.9166667
application_1462718033130_0092,1463239487.0,4,6.0000002
application_1462718033130_0092,1463239487.0,0,6.0000002
application_1462718033130_0092,1463239487.0,2,5.9166666
application_1462718033130_0092,1463239489.0,1,5.9166666
application_1462718033130_0092,1463239490.0,4,6.0000002
application_1462718033130_0092,1463239490.0,2,6.0833335
application_1462718033130_0092,1463239490.0,0,6.1666667
application_1462718033130_0092,1463239492.0,1,5.9166666
application_1462718033130_0092,1463239493.0,2,7.166667
application_1462718033130_0092,1463239493.0,4,7.0
application_1462718033130_0092,1463239493.0,0,7.333334
application_1462718033130_0092,1463239495.0,1,5.9166666
application_1462718033130_0092,1463239496.0,2,7.2500005
application_1462718033130_0092,1463239496.0,4,7.333334
application_1462718033130_0092,1463239497.0,0,7.333334
application_1462718033130_0092,1463239498.0,1,5.9166666
application_1462718033130_0092,1463239499.0,2,7.2500005
application_1462718033130_0092,1463239499.0,4,7.333334
application_1462718033130_0092,1463239500.0,0,7.333334
application_1462718033130_0092,1463239501.0,1,5.9166666
application_1462718033130_0092,1463239502.0,3,1.3333334
application_1462718033130_0092,1463239502.0,4,7.5833336
application_1462718033130_0092,1463239502.0,2,8.416667
application_1462718033130_0092,1463239503.0,0,8.3333336
application_1462718033130_0092,1463239504.0,1,5.9166666
application_1462718033130_0092,1463239505.0,4,8.6666666
application_1462718033130_0092,1463239506.0,2,8.583333
application_1462718033130_0092,1463239506.0,3,1.8333334
application_1462718033130_0092,1463239506.0,0,8.6666666
application_1462718033130_0092,1463239508.0,5,0.4166667
application_1462718033130_0092,1463239508.0,1,6.5
application_1462718033130_0092,1463239509.0,4,8.6666666
application_1462718033130_0092,1463239509.0,2,8.583333
application_1462718033130_0092,1463239509.0,3,2.0
application_1462718033130_0092,1463239509.0,0,8.6666666
application_1462718033130_0092,1463239511.0,1,7.2500005
application_1462718033130_0092,1463239512.0,4,8.6666666
application_1462718033130_0092,1463239512.0,2,9.0
application_1462718033130_0092,1463239512.0,0,9.0
application_1462718033130_0092,1463239512.0,3,2.0
application_1462718033130_0092,1463239514.0,5,1.0833333
application_1462718033130_0092,1463239514.0,1,7.2500005
application_1462718033130_0092,1463239515.0,2,9.25
application_1462718033130_0092,1463239515.0,0,9.0833336
application_1462718033130_0092,1463239515.0,4,9.833333
application_1462718033130_0092,1463239515.0,3,2.0
application_1462718033130_0092,1463239518.0,1,8.0
application_1462718033130_0092,1463239518.0,5,1.9166667
application_1462718033130_0092,1463239518.0,2,9.75
application_1462718033130_0092,1463239518.0,4,10.000001
application_1462718033130_0092,1463239518.0,0,10.000001
application_1462718033130_0092,1463239519.0,3,2.0
application_1462718033130_0092,1463239521.0,1,8.583333
application_1462718033130_0092,1463239521.0,5,1.9166667
application_1462718033130_0092,1463239521.0,2,9.916668
application_1462718033130_0092,1463239521.0,4,10.000001
application_1462718033130_0092,1463239521.0,0,10.000001
application_1462718033130_0092,1463239522.0,3,2.0
application_1462718033130_0092,1463239524.0,1,8.583333
application_1462718033130_0092,1463239524.0,2,9.916668
application_1462718033130_0092,1463239524.0,5,1.9166667
application_1462718033130_0092,1463239524.0,4,10.000001
application_1462718033130_0092,1463239524.0,0,10.000001
application_1462718033130_0092,1463239526.0,3,2.0833334
application_1462718033130_0092,1463239527.0,1,8.583333
application_1462718033130_0092,1463239527.0,2,9.916668
application_1462718033130_0092,1463239527.0,5,1.9166667
application_1462718033130_0092,1463239527.0,4,10.333334
application_1462718033130_0092,1463239527.0,0,10.000001
application_1462718033130_0092,1463239530.0,1,8.583333
application_1462718033130_0092,1463239530.0,2,9.916668
application_1462718033130_0092,1463239530.0,0,10.000001
application_1462718033130_0092,1463239530.0,4,11.333334
application_1462718033130_0092,1463239530.0,5,1.9166667
application_1462718033130_0092,1463239531.0,3,3.1666666
application_1462718033130_0092,1463239533.0,1,8.583333
application_1462718033130_0092,1463239533.0,2,9.916668
application_1462718033130_0092,1463239533.0,0,10.000001
application_1462718033130_0092,1463239533.0,4,11.333334
application_1462718033130_0092,1463239534.0,5,2.25
application_1462718033130_0092,1463239534.0,3,3.3333335
application_1462718033130_0092,1463239536.0,1,8.583333
application_1462718033130_0092,1463239536.0,2,9.916668
application_1462718033130_0092,1463239536.0,0,10.416667
application_1462718033130_0092,1463239536.0,4,11.333334
application_1462718033130_0092,1463239537.0,5,2.7500002
application_1462718033130_0092,1463239537.0,3,3.3333335
application_1462718033130_0092,1463239539.0,1,8.583333
application_1462718033130_0092,1463239539.0,2,10.5000004
application_1462718033130_0092,1463239539.0,0,11.166667
application_1462718033130_0092,1463239539.0,4,11.333334
application_1462718033130_0092,1463239540.0,5,3.25
application_1462718033130_0092,1463239540.0,3,3.3333335
application_1462718033130_0092,1463239542.0,1,9.583333
application_1462718033130_0092,1463239542.0,2,11.2500004
application_1462718033130_0092,1463239542.0,0,11.333334
application_1462718033130_0092,1463239542.0,4,11.333334
application_1462718033130_0092,1463239543.0,5,3.25
application_1462718033130_0092,1463239543.0,3,3.3333335
application_1462718033130_0092,1463239545.0,1,9.916668
application_1462718033130_0092,1463239545.0,2,11.2500004
