applicationID,time,reducer,percentage
application_1462718033130_0082,1463228091.0,0,2.0
application_1462718033130_0082,1463228092.0,1,1.5000001
application_1462718033130_0082,1463228092.0,2,1.4166667
application_1462718033130_0082,1463228092.0,3,1.8333334
application_1462718033130_0082,1463228095.0,5,1.9166667
application_1462718033130_0082,1463228095.0,4,1.6666668
application_1462718033130_0082,1463228095.0,1,1.9166667
application_1462718033130_0082,1463228095.0,2,1.9166667
application_1462718033130_0082,1463228095.0,3,2.0
application_1462718033130_0082,1463228095.0,0,2.0
application_1462718033130_0082,1463228098.0,5,1.9166667
application_1462718033130_0082,1463228098.0,4,2.0
application_1462718033130_0082,1463228098.0,1,1.9166667
application_1462718033130_0082,1463228098.0,2,1.9166667
application_1462718033130_0082,1463228098.0,3,2.0
application_1462718033130_0082,1463228098.0,0,2.0
application_1462718033130_0082,1463228101.0,5,1.9166667
application_1462718033130_0082,1463228101.0,4,2.0
application_1462718033130_0082,1463228101.0,1,1.9166667
application_1462718033130_0082,1463228102.0,3,2.8333334
application_1462718033130_0082,1463228102.0,0,2.5000002
application_1462718033130_0082,1463228102.0,2,2.1666666
application_1462718033130_0082,1463228104.0,4,2.25
application_1462718033130_0082,1463228104.0,5,2.4166666
application_1462718033130_0082,1463228104.0,1,3.0833334
application_1462718033130_0082,1463228105.0,3,3.3333335
application_1462718033130_0082,1463228105.0,0,3.3333335
application_1462718033130_0082,1463228105.0,2,3.25
application_1462718033130_0082,1463228107.0,4,3.3333335
application_1462718033130_0082,1463228107.0,5,3.25
application_1462718033130_0082,1463228107.0,1,3.25
application_1462718033130_0082,1463228108.0,3,3.3333335
application_1462718033130_0082,1463228108.0,0,3.3333335
application_1462718033130_0082,1463228108.0,2,3.25
application_1462718033130_0082,1463228110.0,4,3.3333335
application_1462718033130_0082,1463228110.0,5,3.25
application_1462718033130_0082,1463228111.0,1,3.25
application_1462718033130_0082,1463228111.0,3,3.4166668
application_1462718033130_0082,1463228111.0,0,3.4166668
application_1462718033130_0082,1463228112.0,2,3.25
application_1462718033130_0082,1463228113.0,5,3.25
application_1462718033130_0082,1463228113.0,4,3.3333335
application_1462718033130_0082,1463228114.0,3,4.6666667
application_1462718033130_0082,1463228114.0,1,4.4166666
application_1462718033130_0082,1463228114.0,0,4.5
application_1462718033130_0082,1463228116.0,2,4.25
application_1462718033130_0082,1463228116.0,5,4.25
application_1462718033130_0082,1463228116.0,4,4.3333333
application_1462718033130_0082,1463228117.0,3,4.6666667
application_1462718033130_0082,1463228117.0,1,4.5833334
application_1462718033130_0082,1463228117.0,0,4.6666667
application_1462718033130_0082,1463228119.0,2,4.5833334
application_1462718033130_0082,1463228120.0,4,4.6666667
application_1462718033130_0082,1463228120.0,5,4.5833334
application_1462718033130_0082,1463228120.0,3,4.6666667
application_1462718033130_0082,1463228120.0,1,4.5833334
application_1462718033130_0082,1463228120.0,0,4.6666667
application_1462718033130_0082,1463228122.0,2,4.5833334
application_1462718033130_0082,1463228123.0,4,4.6666667
application_1462718033130_0082,1463228123.0,5,4.5833334
application_1462718033130_0082,1463228123.0,3,6.0000002
application_1462718033130_0082,1463228124.0,1,5.2500002
application_1462718033130_0082,1463228125.0,2,5.0000004
application_1462718033130_0082,1463228126.0,0,5.2500002
application_1462718033130_0082,1463228126.0,5,5.5833336
application_1462718033130_0082,1463228126.0,4,5.4166667
application_1462718033130_0082,1463228126.0,3,6.0000002
application_1462718033130_0082,1463228127.0,1,5.9166666
application_1462718033130_0082,1463228128.0,2,5.9166666
application_1462718033130_0082,1463228129.0,0,6.0000002
application_1462718033130_0082,1463228129.0,5,5.9166666
