replication,blocksize,dimension,start_reduce_percentage,reducers,start_time,start_reduce,end_time,total_time
4,134217728,500000000,0.35,24,1459186611,1459186805,1459187885,1274
4,134217728,500000000,0.5,48,1459205321,1459205563,1459206469,1148
1,99840000,200000000,0.5,12,1456440699,1456440826,1456440999,300
4,16640000,300000000,0.05,6,1459237268,1459237385,1459238672,1404
2,99840000,400000000,0.35,24,1458769849,1458769999,1458770798,949
2,133120000,300000000,0.05,48,1458819070,1458819149,1458819694,624
3,1572864,200000000,0.05,12,1454685391,1454685927,1454692094,6703
2,16640000,500000000,0.5,6,1458999949,1459000714,1459002368,2419
2,134217728,300000000,0.5,6,1458878886,1458879036,1458880237,1351
1,133120000,500000000,0.05,12,1456126811,1456126886,1456128085,1274
4,16640000,500000000,0.5,12,1456556939,1456557730,1456559161,2222
4,134217728,500000000,0.35,48,1459189077,1459189257,1459190406,1329
4,134217728,400000000,0.5,6,1459184272,1459184465,1459185188,916
3,2097152,200000000,0.05,12,1454741747,1454742209,1454747642,5895
3,2097152,200000000,0.5,12,1455577141,1455579277,1455582052,4911
4,99840000,300000000,0.35,6,1459017562,1459017682,1459018485,923
2,33280000,300000000,0.05,12,1456472663,1456472724,1456473613,950
4,16640000,500000000,0.35,6,1459283971,1459284498,1459286150,2179
2,133120000,300000000,0.35,48,1458815038,1458815167,1458815618,580
4,99840000,400000000,0.05,24,1459036062,1459036137,1459036998,936
4,16640000,300000000,0.05,24,1459232676,1459232796,1459234089,1413
2,133120000,300000000,0.35,24,1458813802,1458813918,1458814462,660
4,134217728,200000000,0.05,6,1459147963,1459148008,1459148399,436
4,133120000,500000000,0.35,48,1459119956,1459120135,1459121098,1142
4,33280000,400000000,0.5,12,1456570865,1456571220,1456572070,1205
2,133120000,500000000,0.5,6,1458857062,1458857297,1458860322,3260
2,134217728,300000000,0.5,12,1456149018,1456149195,1456149780,762
4,16640000,300000000,0.5,24,1459239590,1459240048,1459241240,1650
2,16640000,300000000,0.05,24,1458934108,1458934237,1458935471,1363
3,1048576,200000000,0.05,12,1454605478,1454606448,1454616429,10951
2,16640000,300000000,0.5,48,1458942279,1458942736,1458943766,1487
2,1048576,400000000,0.5,12,1455292401,1455302392,1455315342,22941
2,133120000,500000000,0.05,6,1458850121,1458850181,1458852362,2241
